Node_ID,Node_Type,Link_Type,E_Consumed_J,E_Harvested_J,Net_Energy_J,Life_Days,Can_Listen_AP,AP_Can_Listen
134,PV,RF,3.1094235842337565,55.53967212910647,52.43024854487271,inf,True,True
135,PV,RF,3.110143074773604,55.90385395323105,52.793710878457446,inf,True,True
136,PV,RF,3.1105156416861233,56.09299098296755,52.98247534128143,inf,True,True
137,PV,RF,3.110609936098161,56.14092073251727,53.030310796419116,inf,True,True
138,PV,RF,3.110469670016883,56.069632473549085,52.9591628035322,inf,True,True
139,PV,RF,3.110066847810583,55.86520345973562,52.75513661192503,inf,True,True
140,PV,RF,3.109448518498363,55.55226938435586,52.4428208658575,inf,True,True
141,PV,RF,3.10867442304757,55.16197092024255,52.053296497194985,inf,True,True
142,PV,RF,3.107716644681334,54.681309055644334,51.573592410963,inf,True,True
143,PV,RF,3.1065958944450576,54.12200161275678,51.015405718311726,inf,True,True
144,PV,RF,3.105380466986455,53.51925185653572,50.413871389549264,inf,True,True
145,PV,RF,3.10405131018093,52.86460451607445,49.76055320589352,inf,True,True
146,PV,RF,3.102603401960041,52.15678228928927,49.05417888732923,inf,True,True
147,PV,RF,3.1011047339761166,51.429935619424654,48.32883088544854,inf,True,True
148,PV,RF,3.0995513890880444,50.68273614513021,47.583184756042165,inf,True,True
149,PV,RF,3.097917557950417,49.90353570402458,46.80561814607416,inf,True,True
150,PV,RF,3.096262216457935,49.12103755788111,46.02477534142317,inf,True,True
151,PV,RF,3.094599273195794,48.341939595298946,45.24734032210315,inf,True,True
152,PV,RF,3.092890083057069,47.54841596214387,44.4555258790868,inf,True,True
153,PV,RF,3.0911773710098376,46.760556511732844,43.66937914072301,inf,True,True
154,PV,RF,3.08949191435907,45.9923065957603,42.902814681401225,inf,True,True
155,PV,RF,3.0877913453992374,45.22421773790022,42.13642639250098,inf,True,True
156,PV,RF,3.086097634236922,44.466205675816276,41.380108041579355,inf,True,True
157,PV,RF,3.08445433778852,43.737359454982325,40.652905117193804,inf,True,True
158,PV,RF,3.0828238844367197,43.02058561620774,39.93776173177102,inf,True,True
159,PV,RF,3.0812064019922225,42.31574109235348,39.23453469036126,inf,True,True
160,PV,RF,3.079651903873363,41.644143995383025,38.56449209150966,inf,True,True
161,PV,RF,3.078134370946743,40.993962245190545,37.9158278742438,inf,True,True
162,PV,RF,3.076634241735288,40.35648784436426,37.279853602628975,inf,True,True
163,PV,RF,3.0752006942046073,39.75215273857374,36.67695204436913,inf,True,True
164,PV,RF,3.073823427726132,39.17597592852895,36.102152500802816,inf,True,True
165,PV,RF,3.072468060738345,38.61317536626978,35.540707305531434,inf,True,True
166,PV,RF,3.071175921100238,38.08049961408543,35.00932369298519,inf,True,True
167,PV,RF,3.0699536435687107,37.580082062705905,34.510128419137196,inf,True,True
168,PV,RF,3.068758848689986,37.09414885254323,34.02539000385324,inf,True,True
169,PV,RF,3.0676193544750667,36.633669627739216,33.56605027326415,inf,True,True
170,PV,RF,3.066557255326435,36.2070588668106,33.14050161148416,inf,True,True
171,PV,RF,3.0655297105517203,35.79669770757046,32.73116799701874,inf,True,True
172,PV,RF,3.064547753449134,35.40671177767487,32.34216402422574,inf,True,True
173,PV,RF,3.0636450102337145,35.050049051855304,31.98640404162159,inf,True,True
174,PV,RF,3.0627845845207147,34.711760925160746,31.648976340640033,inf,True,True
175,PV,RF,3.061958852096449,34.388627205046724,31.326668352950275,inf,True,True
176,PV,RF,3.0612053254392015,34.0950399729734,31.033834647534203,inf,True,True
177,PV,RF,3.060503840267165,33.8228324446169,30.762328604349733,inf,True,True
