Node_ID,Node_Type,Link_Type,E_Consumed_J,E_Harvested_J,Net_Energy_J,Life_Days,Can_Listen_AP,AP_Can_Listen,PDR_AP,PDR_MAC,True_Col_Rate,Phy_Err_Up,Phy_Err_Dw,Blockage_Drop,Avg_Retries
17,PD,IR,23.286112386205517,0.0,-23.286112386205517,278.27745106300756,True,True,0.9201360544217688,0.9201360544217688,0.014103550358069794,0.0,0.0,0.07959183673469387,0.007619047619047619
18,PD,IR,23.474984796948636,0.0,-23.474984796948636,276.0385174282325,True,True,0.9331972789115647,0.9331972789115647,0.007382094155608586,0.0,0.0,0.06680272108843537,0.0046258503401360555
19,PD,IR,81.89523964449934,0.0,-81.89523964449934,79.12547821007863,True,False,0.0,0.0,0.0,1.0,0.0,0.14476190476190476,2.74108843537415
20,PD,IR,23.284872744857335,0.0,-23.284872744857335,278.2922660133998,True,True,0.9201360544217687,0.9201360544217687,0.010603808472335977,0.0,0.0,0.07959183673469387,0.007346938775510204
21,PD,IR,23.49208023247072,0.0,-23.49208023247072,275.83764127637164,True,True,0.9359183673469389,0.9359183673469389,0.003495521584856857,0.0,0.0,0.06408163265306122,0.00272108843537415
22,PD,IR,23.102050256938576,0.0,-23.102050256938576,280.4945850229794,True,True,0.9141496598639456,0.9141496598639456,0.009928935973641443,0.0,0.0,0.08571428571428572,0.0055782312925170075
23,PD,IR,22.92825406968764,0.0,-22.92825406968764,282.62073423928524,True,True,0.9078911564625849,0.9078911564625849,0.004659993298845436,0.0,0.0,0.09197278911564626,0.0036734693877551023
24,PD,IR,23.549526917426938,0.0,-23.549526917426938,275.1647632974198,True,True,0.9312925170068026,0.9312925170068026,0.012868056797803071,0.0,0.0,0.06857142857142856,0.009387755102040816
25,PD,IR,23.31182916205008,0.0,-23.31182916205008,277.97046533563986,True,True,0.9202721088435374,0.9202721088435374,0.011208626241394409,0.0,0.0,0.07959183673469387,0.008299319727891157
26,PD,IR,23.62548522307474,0.0,-23.62548522307474,274.2800809725194,True,True,0.9375510204081633,0.9375510204081633,0.010195597256165726,0.0,0.0,0.062312925170068034,0.008027210884353741
