case,N,blockage_mode,blocked_fraction,E_cycle_J_mean,E_cycle_J_std,E_day_J_mean,E_day_J_total,E_day_J_std,E_day_J_min,E_day_J_max,Life_days_mean,d_tx_s_mean,d_rx_s_mean,d_cca_s_mean,d_wait_s_mean,d_total_s_mean,PDR_AP,PDR_MAC,True_MAC_Collision_Rate,PHY_UL_Failure_Rate,PHY_DL_Failure_Rate,Payload_Throughput_kbps,Union_Active_Payload_Throughput_Normalized,Union_Active_Time_s,CCA_Attempts_Per_Generated_Packet,Backoff_Slots_Per_Generated_Packet,MAC_Blocked_Packets_Per_Generated_Packet,Retransmissions_Per_Generated_Packet,Generated_Packets_Per_Day,Delivered_Packets_Per_Day,Energy_Per_Generated_Packet_J,Energy_Per_Delivered_Packet_J
CSMA/CA,350,none,0.0,0.014921381122817896,0.00024924202709080995,21.486788816857764,7520.376085900218,0.3589085190107662,20.449235314951054,22.330499666577495,301.66486833773826,0.09158937749271136,0.01054225912536443,0.002176288590864917,0.05288579980563654,0.26225622501457724,0.7931144800777453,0.7931144800777453,0.05093606571861043,0.0,0.0,4.642786417777778,0.7674686590618442,1814.8282747241703,2.720360738581147,25.454544217687072,0.2067584062196307,0.030421768707482998,504000.0,399729.69795918366,0.014921381122817892,0.018813653637183902
"CSMA/CA, $10\%$ UL+DL blocked",350,both,0.1,0.018755401119435557,0.014803985184210049,27.0077776119872,9452.72216419552,21.317738665262468,18.558717660327964,90.95592881716898,300.3066554012902,0.11922905065111757,0.013723689795918365,0.002475455626822157,0.057910486297376086,0.2984011823712342,0.6483545189504374,0.6483545189504374,0.0434548544924729,0.09999559119560485,0.0,3.7953809066666677,0.5604424477255068,2031.736330451238,3.0943195335276967,27.668622740524782,0.25154946550048596,0.323774149659864,504000.0,326770.67755102046,0.018755401119435557,0.028927693987229365
"CSMA/CA, $10\%$ DL-only blocked",350,downlink,0.1,0.02032333198826185,0.014286362292356828,29.26559806309706,10242.95932208397,20.572361700993834,20.678957616983503,90.95592881716898,267.62475552735117,0.12983846001943633,0.014944881943634596,0.0029406668999028187,0.07000095222546161,0.32278746108843537,0.6034806608357628,0.5494161321671525,0.3044612110561368,0.0,0.026522084146165942,3.216208782222222,0.46464679899722716,2076.465307970573,3.675833624878522,33.599367541302236,0.33876890184645286,0.5064069970845481,504000.0,276905.73061224486,0.020323331988261847,0.03699078130104622
No MAC overhead,400,none,0.0,0.015918745458000004,3.469446951953614e-18,22.922993459520004,9169.197383808001,3.552713678800501e-15,22.92299345952,22.92299345952,282.68559302445004,0.10240000000000002,0.012800000000000002,0.0,0.0010000000000000002,0.22126249999999995,,,,,,,,,,,,,576000.0,576000.0,0.015918745458,0.015918745458
CSMA/CA,400,none,0.0,0.01445945258410337,0.0002655477508504528,20.82161172110885,8328.64468844354,0.38238876122465204,19.888498390463997,22.025923936421872,311.3200242210228,0.08786626857142857,0.010113715374149658,0.0023348661224489795,0.0579642118367347,0.2633415619047619,0.7546680272108843,0.7546680272108843,0.06101367463731083,0.0,0.0,5.0488297244444444,0.7676307799812309,1973.1335342441018,2.9185826530612244,28.03392653061225,0.24520986394557825,0.03539489795918367,576000.0,434688.7836734694,0.01445945258410337,0.019160017468267305
"CSMA/CA, $10\%$ UL+DL blocked",400,both,0.1,0.01824376392597637,0.014974809354730468,26.271020053405977,10508.408021362391,21.56372547081187,17.703181424513822,90.95592881716898,312.91629552173833,0.11516636027210883,0.0132560631292517,0.002622398639455782,0.06264996530612245,0.29875728734693874,0.6080105442176871,0.6080105442176871,0.05253949946976584,0.09999571051722508,0.0,4.067671608888889,0.5598592307577976,2179.6934702306085,3.277998299319728,30.082203061224487,0.29188401360544214,0.3275758503401361,576000.0,350214.0734693878,0.018243763925976375,0.03000567029548837
"CSMA/CA, $10\%$ DL-only blocked",400,downlink,0.1,0.019741749381813122,0.014479703337395646,28.4281191098109,11371.24764392436,20.85077280584973,19.65114741445302,90.95592881716898,278.9201152380334,0.12520923319727892,0.014412025034013603,0.003113911836734694,0.0755482824489796,0.32334595251700676,0.5492659863945578,0.5004295918367346,0.3377009458295717,0.0,0.022502606574109872,3.3479406933333333,0.45132704298790605,2225.429311560873,3.8923897959183673,36.42298775510205,0.3881,0.5141115646258502,576000.0,288247.4448979591,0.019741749381813126,0.03944960430768027
No MAC overhead,450,none,0.0,0.015918745458000004,3.469446951953614e-18,22.922993459520004,10315.347056784001,3.552713678800501e-15,22.92299345952,22.92299345952,282.68559302445004,0.10240000000000003,0.012800000000000004,0.0,0.0010000000000000005,0.22126249999999995,,,,,,,,,,,,,648000.0,648000.0,0.015918745458,0.015918745458
CSMA/CA,450,none,0.0,0.01402358239923153,0.00026996073975403653,20.1939586548934,9087.28139470203,0.3887434652458126,19.1196658399339,21.292951364260315,321.00728099197835,0.08437785396825397,0.009712187210884352,0.0024732662131519275,0.06239795386243386,0.2640237612547241,0.7186582010582011,0.7186582010582011,0.07109049975533631,0.0,0.0,5.408909084444445,0.7676360058270213,2113.8466138175568,3.091582766439909,30.288441421012855,0.2812130007558579,0.0400302343159486,648000.0,465690.5142857143,0.014023582399231528,0.019513563441678188
"CSMA/CA, $10\%$ UL+DL blocked",450,both,0.1,0.01776992369663086,0.015132843898723988,25.588690123148446,11514.9105554168,21.79129521416254,16.815687130727706,90.95592881716898,325.5856779734538,0.11143319219954646,0.012826343038548751,0.0027442931519274373,0.06661374959939531,0.29868007798941804,0.5716538170823886,0.5716538170823886,0.06008339810145,0.09999580803061854,0.0,4.30249528888889,0.55902638813478,2309.010704538741,3.4303664399092972,32.10438155706727,0.3282355253212396,0.3303591836734694,648000.0,370431.6734693878,0.017769923696630864,0.031085113342416124
"CSMA/CA, $10\%$ DL-only blocked",450,downlink,0.1,0.019214438138751764,0.014655942090953292,27.668790919802543,12450.955913911144,21.104556610972736,18.788182397495113,90.95592881716898,290.0763746327056,0.12102470071050642,0.013930366742252455,0.0032649957974300826,0.08039368006046863,0.32367624331065764,0.4994778533635677,0.4555304610733181,0.3686970007406881,0.0,0.0191380907634237,3.428504462222222,0.43685487925626537,2354.454199794711,4.081244746787604,38.890842932728646,0.433373544973545,0.5217578231292517,648000.0,295183.73877551017,0.019214438138751767,0.042180358462700435
No MAC overhead,500,none,0.0,0.015918745458000004,3.469446951953614e-18,22.92299345952,11461.49672976,0.0,22.92299345952,22.92299345952,282.68559302445,0.10240000000000003,0.012800000000000004,0.0,0.0010000000000000005,0.22126249999999995,,,,,,,,,,,,,720000.0,720000.0,0.015918745458,0.015918745458
CSMA/CA,500,none,0.0,0.013593980320659414,0.000278000383033126,19.575331661749555,9787.665830874777,0.4003205515677014,18.45020707983595,20.71763620415765,331.1676110880559,0.08095550628571428,0.00931825719727891,0.002601833795918367,0.0665379485170068,0.2644760457959184,0.6839058503401361,0.6839058503401361,0.08043974810284069,0.0,0.0,5.719276657777778,0.7677353773285134,2234.856822119553,3.2522922448979594,32.395370340136054,0.31596598639455786,0.04400925170068027,720000.0,492412.21224489796,0.013593980320659413,0.01987697621521813
"CSMA/CA, $10\%$ UL+DL blocked",500,both,0.1,0.017312454007488567,0.015285549903401613,24.929933770783535,12464.966885391768,22.01119186089832,16.1653888856495,90.95592881716898,338.8715192148284,0.10784061017687076,0.012412833959183673,0.0028564743401360546,0.07027227809523807,0.2984446965714285,0.5368269387755102,0.5368269387755102,0.06764204671143696,0.0999958846278092,0.0,4.489304746666667,0.5574773517602648,2415.9771917332105,3.570592925170068,33.972413333333336,0.36306421768707486,0.33288244897959185,720000.0,386515.3959183674,0.017312454007488567,0.032249599930617996
"CSMA/CA, $10\%$ DL-only blocked",500,downlink,0.1,0.018675744165028128,0.014834813943502721,26.893071597640503,13446.535798820252,21.362132078643917,18.11380618421368,90.95592881716898,302.4115627165406,0.1167978836462585,0.013443845224489798,0.003395201523809524,0.0846494205170068,0.32334885091156457,0.45371863945578234,0.41428897959183675,0.3976493701730354,0.0,0.01630794715385507,3.4645606399999997,0.42270929466314466,2458.9752843560836,4.244001904761905,41.06432462585034,0.4750587755102041,0.5254323809523809,720000.0,298288.0653061225,0.018675744165028128,0.045079027164632114
